Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
j2w,m18w,13,0,[]
j2w,m18w,14,0,[]
j2w,m18w,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j2w,j1e,0,0,[]
j2w,j1e,1,0,[]
j2w,j1e,2,0,[]
j2w,j1e,3,0,[]
j2w,j1e,4,0,[]
j2w,j1e,5,0,[]
j2w,j1e,6,0,[]
j2w,j1e,7,0,[]
j2w,j1e,8,9,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,j1e,9,11,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,j1e,10,0,[]
j2w,j1e,11,0,[]
j2w,j1e,12,0,[]
j2w,j1e,13,0,[]
j2w,j1e,14,0,[]
j2w,j1e,15,0,[]
,,TOTAL,20,
#,#,#,#,#
j2w,j1w,0,0,[]
j2w,j1w,1,0,[]
j2w,j1w,2,0,[]
j2w,j1w,3,0,[]
j2w,j1w,4,0,[]
j2w,j1w,5,0,[]
j2w,j1w,6,0,[]
j2w,j1w,7,0,[]
j2w,j1w,8,18,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,j1w,9,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,j1w,10,0,[]
j2w,j1w,11,0,[]
j2w,j1w,12,0,[]
j2w,j1w,13,0,[]
j2w,j1w,14,0,[]
j2w,j1w,15,0,[]
,,TOTAL,22,
#,#,#,#,#
j2w,j2e,0,0,[]
j2w,j2e,1,0,[]
j2w,j2e,2,0,[]
j2w,j2e,3,0,[]
j2w,j2e,4,0,[]
j2w,j2e,5,0,[]
j2w,j2e,6,0,[]
j2w,j2e,7,0,[]
j2w,j2e,8,10,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,j2e,9,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,j2e,10,0,[]
j2w,j2e,11,0,[]
j2w,j2e,12,0,[]
j2w,j2e,13,0,[]
j2w,j2e,14,0,[]
j2w,j2e,15,0,[]
,,TOTAL,14,
#,#,#,#,#
j2w,j2w,0,0,[]
j2w,j2w,1,0,[]
j2w,j2w,2,0,[]
j2w,j2w,3,0,[]
j2w,j2w,4,0,[]
j2w,j2w,5,0,[]
j2w,j2w,6,0,[]
